target,package,type,name,config,value
launcher-black-blue,com.android.launcher.black.blue,anim,abc_fade_in,default,res/anim/abc_fade_in.xml
launcher-black-blue,com.android.launcher.black.blue,anim,abc_fade_out,default,res/anim/abc_fade_out.xml
launcher-black-blue,com.android.launcher.black.blue,anim,abc_grow_fade_in_from_bottom,default,res/anim/abc_grow_fade_in_from_bottom.xml
launcher-black-blue,com.android.launcher.black.blue,anim,abc_popup_enter,default,res/anim/abc_popup_enter.xml
launcher-black-blue,com.android.launcher.black.blue,anim,abc_popup_exit,default,res/anim/abc_popup_exit.xml
launcher-black-blue,com.android.launcher.black.blue,anim,abc_shrink_fade_out_from_bottom,default,res/anim/abc_shrink_fade_out_from_bottom.xml
launcher-black-blue,com.android.launcher.black.blue,anim,abc_slide_in_bottom,default,res/anim/abc_slide_in_bottom.xml
launcher-black-blue,com.android.launcher.black.blue,anim,abc_slide_in_top,default,res/anim/abc_slide_in_top.xml
launcher-black-blue,com.android.launcher.black.blue,anim,abc_slide_out_bottom,default,res/anim/abc_slide_out_bottom.xml
launcher-black-blue,com.android.launcher.black.blue,anim,abc_slide_out_top,default,res/anim/abc_slide_out_top.xml
launcher-black-blue,com.android.launcher.black.blue,anim,abc_tooltip_enter,default,res/anim/abc_tooltip_enter.xml
launcher-black-blue,com.android.launcher.black.blue,anim,abc_tooltip_exit,default,res/anim/abc_tooltip_exit.xml
launcher-black-blue,com.android.launcher.black.blue,anim,btn_checkbox_to_checked_box_inner_merged_animation,default,res/anim/btn_checkbox_to_checked_box_inner_merged_animation.xml
launcher-black-blue,com.android.launcher.black.blue,anim,btn_checkbox_to_checked_box_outer_merged_animation,default,res/anim/btn_checkbox_to_checked_box_outer_merged_animation.xml
launcher-black-blue,com.android.launcher.black.blue,anim,btn_checkbox_to_checked_icon_null_animation,default,res/anim/btn_checkbox_to_checked_icon_null_animation.xml
launcher-black-blue,com.android.launcher.black.blue,anim,btn_checkbox_to_unchecked_box_inner_merged_animation,default,res/anim/btn_checkbox_to_unchecked_box_inner_merged_animation.xml
launcher-black-blue,com.android.launcher.black.blue,anim,btn_checkbox_to_unchecked_check_path_merged_animation,default,res/anim/btn_checkbox_to_unchecked_check_path_merged_animation.xml
launcher-black-blue,com.android.launcher.black.blue,anim,btn_checkbox_to_unchecked_icon_null_animation,default,res/anim/btn_checkbox_to_unchecked_icon_null_animation.xml
launcher-black-blue,com.android.launcher.black.blue,anim,btn_radio_to_off_mtrl_dot_group_animation,default,res/anim/btn_radio_to_off_mtrl_dot_group_animation.xml
launcher-black-blue,com.android.launcher.black.blue,anim,btn_radio_to_off_mtrl_ring_outer_animation,default,res/anim/btn_radio_to_off_mtrl_ring_outer_animation.xml
launcher-black-blue,com.android.launcher.black.blue,anim,btn_radio_to_off_mtrl_ring_outer_path_animation,default,res/anim/btn_radio_to_off_mtrl_ring_outer_path_animation.xml
launcher-black-blue,com.android.launcher.black.blue,anim,btn_radio_to_on_mtrl_dot_group_animation,default,res/anim/btn_radio_to_on_mtrl_dot_group_animation.xml
launcher-black-blue,com.android.launcher.black.blue,anim,btn_radio_to_on_mtrl_ring_outer_animation,default,res/anim/btn_radio_to_on_mtrl_ring_outer_animation.xml
launcher-black-blue,com.android.launcher.black.blue,anim,btn_radio_to_on_mtrl_ring_outer_path_animation,default,res/anim/btn_radio_to_on_mtrl_ring_outer_path_animation.xml
launcher-black-blue,com.android.launcher.black.blue,anim,fade_in_fast,default,res/anim/fade_in_fast.xml
launcher-black-blue,com.android.launcher.black.blue,anim,fade_out_fast,default,res/anim/fade_out_fast.xml
launcher-black-blue,com.android.launcher.black.blue,anim,no_anim,default,res/anim/no_anim.xml
launcher-black-blue,com.android.launcher.black.blue,anim,task_open_enter,default,res/anim/task_open_enter.xml
launcher-black-blue,com.android.launcher.black.blue,array,branch_string_array,default,酉
launcher-black-blue,com.android.launcher.black.blue,array,branch_string_array,default,戌
launcher-black-blue,com.android.launcher.black.blue,array,branch_string_array,default,亥
launcher-black-blue,com.android.launcher.black.blue,array,branch_string_array,default,子
launcher-black-blue,com.android.launcher.black.blue,array,branch_string_array,default,丑
launcher-black-blue,com.android.launcher.black.blue,array,branch_string_array,default,寅
launcher-black-blue,com.android.launcher.black.blue,array,branch_string_array,default,卯
launcher-black-blue,com.android.launcher.black.blue,array,branch_string_array,default,辰
launcher-black-blue,com.android.launcher.black.blue,array,branch_string_array,default,巳
launcher-black-blue,com.android.launcher.black.blue,array,branch_string_array,default,午
launcher-black-blue,com.android.launcher.black.blue,array,branch_string_array,default,未
launcher-black-blue,com.android.launcher.black.blue,array,branch_string_array,default,申
launcher-black-blue,com.android.launcher.black.blue,array,extra_wallpapers,default,wallpaper_00
launcher-black-blue,com.android.launcher.black.blue,array,extra_wallpapers,default,wallpaper_01
launcher-black-blue,com.android.launcher.black.blue,array,extra_wallpapers,default,wallpaper_02
launcher-black-blue,com.android.launcher.black.blue,array,extra_wallpapers,default,wallpaper_03
launcher-black-blue,com.android.launcher.black.blue,array,extra_wallpapers,default,wallpaper_04
launcher-black-blue,com.android.launcher.black.blue,array,extra_wallpapers,default,wallpaper_05
launcher-black-blue,com.android.launcher.black.blue,array,extra_wallpapers,default,wallpaper_06
launcher-black-blue,com.android.launcher.black.blue,array,extra_wallpapers,default,wallpaper_07
launcher-black-blue,com.android.launcher.black.blue,array,lunar_first_of_month,default,春节
launcher-black-blue,com.android.launcher.black.blue,array,lunar_first_of_month,default,二月
launcher-black-blue,com.android.launcher.black.blue,array,lunar_first_of_month,default,三月
launcher-black-blue,com.android.launcher.black.blue,array,lunar_first_of_month,default,四月
launcher-black-blue,com.android.launcher.black.blue,array,lunar_first_of_month,default,五月
launcher-black-blue,com.android.launcher.black.blue,array,lunar_first_of_month,default,六月
launcher-black-blue,com.android.launcher.black.blue,array,lunar_first_of_month,default,七月
launcher-black-blue,com.android.launcher.black.blue,array,lunar_first_of_month,default,八月
launcher-black-blue,com.android.launcher.black.blue,array,lunar_first_of_month,default,九月
